dwc:occurrenceID,dwc:genus,species,Day,Month,Year,Day of the year
http://n2t.net/ark:/65665/3cf88f580-f42a-456c-bc91-cb4fe11e93ec,hydnocarpus,hydnocarpus kurzii,16,1,1921,16
http://n2t.net/ark:/65665/3b1eef0a1-ce65-48c0-b22d-7f8ce9ee5941,hydnocarpus,hydnocarpus kurzii,16,1,1921,16
http://n2t.net/ark:/65665/34e5293bd-b671-4865-8673-ab78183c9a23,hydnocarpus,hydnocarpus kurzii,16,1,1921,16
http://n2t.net/ark:/65665/382129ce2-4e90-4d9d-9d65-790ca38f6484,isachne,isachne meeboldii,16,1,1921,16
http://n2t.net/ark:/65665/3f26092d1-ddde-4dfb-a338-106b7c7594be,ixora,ixora phuluangensis,16,1,1921,16
http://n2t.net/ark:/65665/330e90112-7845-4d31-bd89-8d56582d43d8,jasminum,jasminum multiflorum,16,1,1921,16
http://n2t.net/ark:/65665/322bf319f-0406-4198-9113-81e432a347a2,jasminum,jasminum punctatum,16,1,1921,16
http://n2t.net/ark:/65665/3617cf4d9-df29-4ed8-b842-17ec15411c53,lepidagathis,lepidagathis incurva,16,1,1921,16
http://n2t.net/ark:/65665/360c3aad4-736d-4af5-8a7a-9f32612a4832,micromelum,micromelum falcatum,16,1,1921,16
http://n2t.net/ark:/65665/321328796-1354-4277-9beb-c9e2b93b1530,nyctanthes,nyctanthes arbor-tristis,16,1,1921,16
http://n2t.net/ark:/65665/38c337630-e98a-43c8-87bd-91a1feaca249,paederia,paederia cruddasiana,16,1,1921,16
http://n2t.net/ark:/65665/3276358fb-bf8a-4451-b48d-f2b99780208d,pileostigma,pileostigma malabaricum,16,1,1921,16
http://n2t.net/ark:/65665/34096f63f-c100-4be6-b2ec-734a74fb2ace,polygonum,polygonum chinense,16,1,1921,16
http://n2t.net/ark:/65665/3c1719163-54fb-46c7-a5d4-72dc25f0520f,psychotria,psychotria malayana,16,1,1921,16
http://n2t.net/ark:/65665/36e49f317-77de-486b-9ffb-c8d879df6d1e,rhus,rhus apiculata,16,1,1921,16
http://n2t.net/ark:/65665/3f431efc2-5bc7-424c-9e90-0694de77e1a6,strobilanthes,strobilanthes speciosus,16,1,1921,16
http://n2t.net/ark:/65665/35fbba612-32d7-47ba-8514-c181a4860068,themeda,themeda arundinacea,16,1,1921,16
http://n2t.net/ark:/65665/3cc328c7f-accd-4de6-8460-40dbaa89bbad,themeda,themeda gigantea,16,1,1921,16
http://n2t.net/ark:/65665/305e7e112-e733-4f5f-bbcf-d3896dfb51e8,thunbergia,thunbergia coccinea,16,1,1921,16
http://n2t.net/ark:/65665/37c8d58a3-40e8-4ba0-b102-9c63e68ceaf5,flemingia,flemingia paniculata,16,1,1921,16
http://n2t.net/ark:/65665/34d2f5f56-3d6e-48c3-ae05-b11cda6a406a,flemingia,flemingia paniculata,16,1,1921,16
http://n2t.net/ark:/65665/33b194ba6-8101-46ed-a51a-80c7e5b17f8f,wendlandia,wendlandia sp.,16,1,1921,16
http://n2t.net/ark:/65665/372e809f1-821b-41ca-9f27-a8ccf7319212,mezoneuron,mezoneuron cucullatum,16,1,1921,16
http://n2t.net/ark:/65665/3a6dcd619-84fa-47f7-b0ee-ba3e43b4f47f,leea,leea crispa,16,1,1921,16
http://n2t.net/ark:/65665/3be114bf3-0905-44c4-b65f-fb0dc244589d,bridelia,bridelia retusa,16,1,1921,16
http://n2t.net/ark:/65665/3e6a9aecd-1761-411a-9c25-c5389be12846,dalbergia,dalbergia sp.,16,1,1921,16
http://n2t.net/ark:/65665/3abe59572-df2b-4074-9ec8-ed5e9986b3da,phlogacanthus,phlogacanthus sp.,16,1,1921,16
http://n2t.net/ark:/65665/31d2f0e2b-364b-41f6-bdb9-f5cb63772274,rhynchosia,rhynchosia sp.,16,1,1921,16
http://n2t.net/ark:/65665/33d98a8b8-bd9e-4c27-8f9a-3d96b3be6cc7,flemingia,flemingia stricta,16,1,1921,16
http://n2t.net/ark:/65665/3780536cb-2807-4e11-9602-fe08bc120885,flemingia,flemingia stricta,16,1,1921,16
http://n2t.net/ark:/65665/3be1ca8de-5591-49c2-a2f0-13a7684c233b,glochidion,glochidion coccineum,16,1,1921,16
http://n2t.net/ark:/65665/311357451-d574-4182-bae2-000354f4ac65,abroma,abroma augusta,16,1,1921,16
http://n2t.net/ark:/65665/315bc168d-9413-4cbf-ad35-cf0163720dd2,abroma,abroma augusta,16,1,1921,16
http://n2t.net/ark:/65665/3076cf04c-eec1-475c-a141-813aa71a5d75,tragopogon,tragopogon porrifolius,16,1,1927,16
02559220-cc62-4c95-b979-3a4832400f30,nageia,nageia wallichiana,16,1,1928,16
http://n2t.net/ark:/65665/3b6fb8b5b-aca3-40cd-a7d5-6bbb78eaaeb2,saraca,saraca indica,16,1,1929,16
http://n2t.net/ark:/65665/334647bf6-af53-496b-b8ac-c48af6e8541c,anogeissus,anogeissus acuminata,16,1,1930,16
http://n2t.net/ark:/65665/34128f72c-407a-4897-a695-e3fc4a73ae46,podocarpus,podocarpus neriifolius,16,1,1966,16
bra:mbm:mbm:45739,cichorium,cichorium intybus,16,1,1976,16
bra:mcn-fzbrs:has:62363,cichorium,cichorium intybus,16,1,1991,16
urn:catalog:mo:tropicos:100143607,limnocharis,limnocharis flava,16,1,1999,16
urn:catalog:mo:tropicos:100953703,persicaria,persicaria attenuata pulchra,16,1,2017,16
urn:catalog:mo:tropicos:100953695,persicaria,persicaria attenuata pulchra,16,1,2017,16
http://n2t.net/ark:/65665/3a86d783d-7c88-4a0d-b5f4-fd5e646b4061,anogeissus,anogeissus acuminata,17,1,1929,17
urn:catalog:mo:tropicos:101197412,eriobotrya,eriobotrya merguiensis,17,1,1930,17
http://n2t.net/ark:/65665/310249918-3681-48e0-9093-3b2fda34765e,polygonum,polygonum sp.,17,1,1952,17
urn:catalog:mo:tropicos:1786274,neptunia,neptunia oleracea,17,1,1974,17
http://n2t.net/ark:/65665/3d7227483-56fe-4fc9-89b7-10d6b55b0794,croton,croton persimilis,18,1,1926,18
a9bbf60d-74f1-4243-8d5d-ceaafe87dda9,stauranthera,stauranthera grandiflora,18,1,1953,18
http://n2t.net/ark:/65665/3c223b651-94ef-4b46-9bc4-1552afda151c,neptunia,neptunia oleracea,18,1,1978,18
http://n2t.net/ark:/65665/36f955e9c-ff70-4600-9339-55ec68892e40,nymphoides,nymphoides hydrophylla,19,1,1903,19
72797b1b-6c24-4161-ba6f-017c6756e06b,utricularia,utricularia aurea,19,1,1903,19
7a6e4bb7-c259-4936-9b5b-5fe3ea0bad0f,tectaria,tectaria vasta,19,1,1953,19
urn:catalog:mo:tropicos:1747578,limnocharis,limnocharis flava,19,1,1980,19
http://n2t.net/ark:/65665/326c756fb-3196-4ced-8060-88ba451bd081,limnocharis,limnocharis flava,19,1,2001,19
urn:catalog:mo:tropicos:100254509,limnocharis,limnocharis flava,19,1,2010,19
bra:pnfm:irai:5477,cichorium,cichorium intybus,19,1,2012,19
http://n2t.net/ark:/65665/3ffd49386-ead6-4947-827f-d8b00cdf4987,ceiba,ceiba pentandra,20,1,1931,20
958779be-7854-4535-bdf4-56461349af1c,trichomanes,trichomanes,20,1,1931,20
urn:catalog:o:v:2003697,anacardium,anacardium occidentale,20,1,1956,20
bra:ufsm:smdb:8281,cichorium,cichorium intybus,20,1,2000,20
bra:ufsm:smdb:8282,cichorium,cichorium intybus,20,1,2000,20
http://n2t.net/ark:/65665/3bbd0336f-4efe-48a6-a831-9fbec96cb73d,maesa,maesa ramentacea,21,1,1921,21
http://n2t.net/ark:/65665/3e5c7d6a2-f3a4-4ff8-a9c1-1c817e140aaa,albizia,albizia myriophylla,21,1,1922,21
http://n2t.net/ark:/65665/30a05c196-9c21-421b-9d3a-33d2418c1f69,asplenium,asplenium cuneifolium cuneifolium,21,1,1922,21
http://n2t.net/ark:/65665/3831b2c95-b198-4a1c-a8d9-1a933d4e8935,boehmeria,boehmeria depauperata,21,1,1922,21
http://n2t.net/ark:/65665/3fd5a1761-09af-4563-80b8-d8312781ed6b,calamus,calamus viminalis,21,1,1922,21
http://n2t.net/ark:/65665/315b7187b-2c07-4d6b-b0e4-dbfd3be4bfa6,calamus,calamus viminalis,21,1,1922,21
http://n2t.net/ark:/65665/3d4fdc2a2-6411-456c-99f9-600a11857863,calamus,calamus viminalis,21,1,1922,21
http://n2t.net/ark:/65665/3d4f7b6b9-4daa-4892-a532-d8d907cb55d2,corymborkis,corymborkis veratrifolia,21,1,1922,21
http://n2t.net/ark:/65665/3731d1c68-cc9b-411d-8c0b-97764ee990f9,datura,datura metel,21,1,1922,21
http://n2t.net/ark:/65665/34a4efa19-be29-4caf-ae61-2c353abbfd7b,diplazium,diplazium lobbianum,21,1,1922,21
http://n2t.net/ark:/65665/3969aec0d-1cf2-49f3-be78-96338180f250,ficus,ficus obtusifolia,21,1,1922,21
http://n2t.net/ark:/65665/3a4422aa7-eaef-408c-ba3e-d660d9278e25,glycosmis,glycosmis cyanocarpa,21,1,1922,21
http://n2t.net/ark:/65665/3d5d10a05-2d98-4b55-9f3f-4723d9eb81e6,gomphostemma,gomphostemma strobilinum,21,1,1922,21
http://n2t.net/ark:/65665/36845c6b5-f4ef-45f9-872e-10f77220d9b5,hymenasplenium,hymenasplenium unilaterale,21,1,1922,21
http://n2t.net/ark:/65665/35330eebe-e281-436f-9d90-ff2cea35d452,ligustrum,ligustrum robustum,21,1,1922,21
http://n2t.net/ark:/65665/3165d8d79-06c1-4ebf-a1fb-a50d8927a44e,macaranga,macaranga denticulata,21,1,1922,21
http://n2t.net/ark:/65665/3fbac5448-7064-42d1-9a82-9fb9dc27e788,mallotus,mallotus repandus,21,1,1922,21
http://n2t.net/ark:/65665/38094ad78-1c60-47e6-b072-4f0791cc0dc0,markhamia,markhamia stipulata,21,1,1922,21
http://n2t.net/ark:/65665/3daa17cd7-4058-45b0-bd18-0c1d0d99e1a4,meliosma,meliosma simplicifolia,21,1,1922,21
http://n2t.net/ark:/65665/343db46ba-0f48-473b-908b-01126c0eeb10,merremia,merremia vitifolia,21,1,1922,21
http://n2t.net/ark:/65665/3e90e073b-67e5-419a-8661-6c3b459c82be,pneumatopteris,pneumatopteris truncata,21,1,1922,21
http://n2t.net/ark:/65665/3e9df89c1-d575-4652-b1cd-8ded8daf692e,polygonum,polygonum chinense,21,1,1922,21
http://n2t.net/ark:/65665/32a76dfc6-c800-46dc-9e60-bcf13b09b4ee,pronephrium,pronephrium nudatum,21,1,1922,21
http://n2t.net/ark:/65665/39616e7f0-c806-43a1-afdc-1f1312880a8c,pronephrium,pronephrium nudatum,21,1,1922,21
def3d861-c97f-4afb-8340-58a4bde73fcb,pronephrium,pronephrium nudatum,21,1,1922,21
http://n2t.net/ark:/65665/3dee9e98c-1485-4da9-a53d-5a21cd7cd354,securidaca,securidaca inappendiculata,21,1,1922,21
http://n2t.net/ark:/65665/36a8e8c85-3964-4a6b-a2e4-850d342a9863,selaginella,selaginella picta,21,1,1922,21
http://n2t.net/ark:/65665/3b8623285-5315-4e11-bf41-928a758c7978,tectaria,tectaria paradoxa,21,1,1922,21
http://n2t.net/ark:/65665/30c069f7d-c358-4a44-8645-945e95f976c6,tectaria,tectaria paradoxa,21,1,1922,21
http://n2t.net/ark:/65665/3f8e6f55a-27b0-4602-804c-21d67a538009,tectaria,tectaria polymorpha,21,1,1922,21
http://n2t.net/ark:/65665/363dcf365-13e7-4559-9f43-02ca60b1bbbb,tectaria,tectaria vasta,21,1,1922,21
http://n2t.net/ark:/65665/37ce92fcf-bb73-4e16-acbd-9fe42a4db8f7,tectaria,tectaria vasta,21,1,1922,21
http://n2t.net/ark:/65665/319eeaa7a-47f5-4ebe-8741-a250ef82f55c,urceola,urceola rosea,21,1,1922,21
http://n2t.net/ark:/65665/3f6aa62b9-2f91-4be4-addc-14097c361288,ziziphus,ziziphus mauritiana,21,1,1922,21
http://n2t.net/ark:/65665/367b8977e-8685-4789-af91-b8dfdb6a0cca,ziziphus,ziziphus oenopolia,21,1,1922,21
http://n2t.net/ark:/65665/337657aa7-d42d-4ca3-88d7-e0b27e3c79df,streptocaulon,streptocaulon sp.,21,1,1922,21
http://n2t.net/ark:/65665/35d312fb1-32dd-47bf-ad38-cc1b88e69e7d,cajanus,cajanus crassus,21,1,1922,21
http://n2t.net/ark:/65665/3b2a1b323-826e-431f-9f34-52dde7350e1f,aglaia,aglaia sp.,21,1,1922,21
http://n2t.net/ark:/65665/3850c0360-86c2-4337-a3f4-79715486fdc0,indet.,indet. sp.,21,1,1922,21
http://n2t.net/ark:/65665/354d4deb5-e9c2-4743-a5a6-a7c3a077cca1,congea,congea tomentosa,21,1,1922,21
http://n2t.net/ark:/65665/33b8f108c-7591-4ed6-a5ec-6e3c99f919f4,embelia,embelia parviflora,21,1,1922,21
http://n2t.net/ark:/65665/3dc75075d-db55-400b-a8f7-7cabce0d54a5,embelia,embelia undulata,21,1,1922,21
http://n2t.net/ark:/65665/3cc35f8fc-91ad-4c69-b52e-0e202263dac3,shuteria,shuteria hirsuta,21,1,1922,21
http://n2t.net/ark:/65665/36b5e9438-e2f8-42fc-8062-32197e03d964,uraria,uraria crinita,21,1,1922,21
http://n2t.net/ark:/65665/35635794e-00cd-4272-86f3-714eb61afdfd,elatostema,elatostema sp.,21,1,1922,21
http://n2t.net/ark:/65665/369e43bdf-abc9-45bb-a34d-cd91893345b4,cordia,cordia grandis,21,1,1922,21
http://n2t.net/ark:/65665/3571f20ed-3c07-4fa0-9cb4-f55700eb1600,calophyllum,calophyllum polyanthum,21,1,1922,21
6572248f-4851-4148-b55f-27b0fea703fb,dryopteris,dryopteris diffracta,21,1,1931,21
http://n2t.net/ark:/65665/3498cd62e-7c9f-45a8-8d85-cf13f7a86840,limnocharis,limnocharis flava,21,1,1944,21
urn:catalog:mo:tropicos:730534,persicaria,persicaria attenuata pulchra,21,1,1966,21
http://n2t.net/ark:/65665/39a268898-0982-41a2-8845-d91ab93420fd,sphaeranthus,sphaeranthus indicus,21,1,1970,21
http://n2t.net/ark:/65665/3b8788c52-63f4-4ee9-a3d5-8c9a2a5277e5,neptunia,neptunia oleracea,21,1,2006,21
http://n2t.net/ark:/65665/313dd2ed0-6dd1-4fcf-9318-b3446de5a7f0,eriobotrya,eriobotrya bengalensis,22,1,1903,22
http://n2t.net/ark:/65665/3d7b1697c-d980-4bf1-99e1-d75000dbc19d,perotis,perotis indica,22,1,1903,22
http://n2t.net/ark:/65665/328bef3d0-9bfa-4133-bb47-bdf4d5f285ca,limnocharis,limnocharis flava,22,1,1913,22
http://n2t.net/ark:/65665/34c2d66b4-ae05-4bff-b78c-fe2fa45cbdac,phyllodium,phyllodium kurzianum,22,1,1921,22
http://n2t.net/ark:/65665/3ab7f6feb-81dc-4613-ab78-627834a4dc53,disporum,disporum pullum,22,1,1922,22
http://n2t.net/ark:/65665/32134d459-c883-4ca5-a0fb-921cd0a1bd26,brachystemma,brachystemma calycinum,22,1,1926,22
http://n2t.net/ark:/65665/3d5035ad0-8169-473d-914e-b46dd74073ca,nymphoides,nymphoides hydrophylla,22,1,1927,22
http://n2t.net/ark:/65665/38e0383c1-7561-4df7-b86e-68dc8b8b111e,holoptelea,holoptelea integrifolia,22,1,1929,22
9c046d6d-8c75-4107-8a9c-5b65e593e5e1,phlegmariurus,phlegmariurus carinatus,22,1,1931,22
http://n2t.net/ark:/65665/37247adb3-8aee-4e1e-84a7-36cd5dcd9a73,sterculia,sterculia versicolor,22,1,1931,22
