dwc:catalogNumber,dwc:genus,species,Day,Month,Year,Day of the year
676014,nymphaea,nymphaea amazonum,21,12,1985,355
23683,nymphaea,nymphaea amazonum,19,9,1998,262
no disponible,nymphaea,nymphaea amazonum,19,9,1998,262
151152,nymphaea,nymphaea amazonum,26,10,1985,299
,nymphaea,nymphaea amazonum,26,10,1985,299
859402,nymphaea,nymphaea amazonum,26,10,1985,299
,nymphaea,nymphaea amazonum,31,10,1865,304
,nymphaea,nymphaea amazonum,28,8,1872,241
u.1446070,nymphaea,nymphaea amazonum,26,7,1997,207
,nymphaea,nymphaea amazonum,21,4,1980,112
1511655,nymphaea,nymphaea amazonum,17,8,1923,229
441456,nymphaea,nymphaea amazonum,17,4,1952,108
859401,nymphaea,nymphaea amazonum,26,10,1985,299
1511650,nymphaea,nymphaea amazonum,29,10,1895,302
1511648,nymphaea,nymphaea amazonum,29,1,1985,29
993161,nymphaea,nymphaea amazonum,23,6,1913,174
993163,nymphaea,nymphaea amazonum,24,1,1923,24
993162,nymphaea,nymphaea amazonum,20,2,1929,51
1511654,nymphaea,nymphaea amazonum,27,12,1917,361
589245,nymphaea,nymphaea amazonum,17,9,1993,260
159212,nymphaea,nymphaea amazonum,29,6,1988,181
214239,nymphaea,nymphaea amazonum,27,6,2003,178
u.1446114,nymphaea,nymphaea amazonum,17,8,1961,229
asu0045606,nymphaea,nymphaea amazonum,24,2,1999,55
441458,nymphaea,nymphaea amazonum,27,8,1981,239
1004943,nymphaea,nymphaea amazonum,16,9,1998,259
441460,nymphaea,nymphaea amazonum,27,12,1917,361
asu0045607,nymphaea,nymphaea amazonum,19,1,2000,19
u.1446072,nymphaea,nymphaea amazonum,16,10,1974,289
993160,nymphaea,nymphaea amazonum,24,3,1922,83
u.1446071,nymphaea,nymphaea amazonum,16,10,1974,289
l.4149672,nymphaea,nymphaea amazonum,16,2,1957,47
39231,nymphaea,nymphaea amazonum,30,4,1838,120
1021439,nymphaea,nymphaea amazonum,13,6,1979,164
u.1446115,nymphaea,nymphaea amazonum,17,8,1961,229
u.1446113,nymphaea,nymphaea amazonum,24,8,1961,236
637562,nymphaea,nymphaea amazonum,18,10,1994,291
676011,nymphaea,nymphaea amazonum,25,12,1985,359
barcode/00351444,nymphaea,nymphaea amazonum,26,9,1935,269
rb00894219,nymphaea,nymphaea amazonum,24,1,2012,24
p01956498,nymphaea,nymphaea amazonum,28,10,1855,301
p02000892,nymphaea,nymphaea amazonum,28,10,1855,301
tex00239868,nymphaea,nymphaea amazonum,24,8,1986,236
rb00968871,nymphaea,nymphaea amazonum,29,5,2015,149
676014,nymphaea,nymphaea amazonum,21,12,1985,355
428646,nymphaea,nymphaea amazonum,24,8,1986,236
p01738474,nymphaea,nymphaea amazonum,18,1,1978,18
p00752294,nymphaea,nymphaea amazonum,22,4,1844,113
p00752293,nymphaea,nymphaea amazonum,18,7,1816,200
584904,nymphaea,nymphaea amazonum,21,12,1985,355
676015,nymphaea,nymphaea amazonum,25,12,1985,359
rb00267658,nymphaea,nymphaea amazonum,17,7,1980,199
rb00267652,nymphaea,nymphaea amazonum,14,9,1980,258
p00752292,nymphaea,nymphaea amazonum,21,4,1816,112
80511,nymphaea,nymphaea amazonum,28,7,1947,209
366425,nymphaea,nymphaea amazonum,24,8,1983,236
p00752291,nymphaea,nymphaea amazonum,18,7,1816,200
rb00267672,nymphaea,nymphaea amazonum,18,7,1955,199
1004943,nymphaea,nymphaea amazonum,16,9,1998,259
60187,nymphaea,nymphaea amazonum,28,7,1862,209
80518,nymphaea,nymphaea amazonum,17,9,1947,260
p02000891,nymphaea,nymphaea amazonum,28,10,1855,301
p01956726,nymphaea,nymphaea amazonum,28,7,1830,209
366665,nymphaea,nymphaea amazonum,24,8,1983,236
589245,nymphaea,nymphaea amazonum,17,9,1993,260
676324,nymphaea,nymphaea amazonum,21,12,1985,355
940901,nymphaea,nymphaea amazonum,19,8,1998,231
p01738477,nymphaea,nymphaea amazonum,13,4,1989,103
rb00894186,nymphaea,nymphaea amazonum,20,7,2011,201
2173351,nymphaea,nymphaea amazonum,17,4,1952,108
15666,nymphaea,nymphaea amazonum,29,4,1996,120
6646,nymphaea,nymphaea amazonum,28,9,1989,271
3278442,nymphaea,nymphaea amazonum,24,3,1978,83
202943,nymphaea,nymphaea amazonum,15,8,2012,228
109881,nymphaea,nymphaea amazonum,15,1,2000,15
2442623,nymphaea,nymphaea amazonum,19,1,2000,19
202924,nymphaea,nymphaea amazonum,23,1,2012,23
202983,nymphaea,nymphaea amazonum,27,12,2013,361
79085,nymphaea,nymphaea amazonum,24,2,1999,55
20029,nymphaea,nymphaea amazonum,21,2,1992,52
9923,nymphaea,nymphaea amazonum,28,9,2018,271
5469,nymphaea,nymphaea amazonum,16,3,2014,75
398274,nymphaea,nymphaea amazonum,30,5,2005,150
28168,nymphaea,nymphaea amazonum,23,6,1982,174
4767,nymphaea,nymphaea amazonum,30,10,2004,304
1347407,nymphaea,nymphaea amazonum,29,11,1934,333
745660,nymphaea,nymphaea amazonum,15,8,1990,227
3415069,nymphaea,nymphaea amazonum,18,6,1998,169
14211,nymphaea,nymphaea amazonum,21,8,1994,233
19308,nymphaea,nymphaea amazonum,25,6,2003,176
14892,nymphaea,nymphaea amazonum,25,2,1996,56
3415211,nymphaea,nymphaea amazonum,20,2,1972,51
3385653,nymphaea,nymphaea amazonum,30,5,2005,150
100473182,nymphaea,nymphaea amazonum,29,6,2004,181
3415417,nymphaea,nymphaea amazonum,23,2,1974,54
100804637,nymphaea,nymphaea amazonum,15,4,1982,105
2082567,nymphaea,nymphaea amazonum,17,9,1993,260
60194,nymphaea,nymphaea amazonum,23,6,2016,175
2084075,nymphaea,nymphaea amazonum,19,9,1998,262
2360786,nymphaea,nymphaea amazonum,24,10,1909,297
100719149,nymphaea,nymphaea amazonum,15,7,2014,196
967854,nymphaea,nymphaea amazonum,24,4,1995,114
3415138,nymphaea,nymphaea amazonum,25,6,1998,176
1462192,nymphaea,nymphaea amazonum,28,8,1929,240
60186,nymphaea,nymphaea amazonum,14,5,2016,135
2084077,nymphaea,nymphaea amazonum,18,10,1994,291
2442605,nymphaea,nymphaea amazonum,24,11,1999,328
3415189,nymphaea,nymphaea amazonum,14,10,1996,288
3415096,nymphaea,nymphaea amazonum,20,7,1998,201
813653,nymphaea,nymphaea amazonum,17,3,1994,76
8130,nymphaea,nymphaea amazonum,16,6,1982,167
5404,nymphaea,nymphaea amazonum,16,3,2014,75
120427,nymphaea,nymphaea amazonum,30,5,2005,150
53752,nymphaea,nymphaea amazonum,16,3,2014,75
8126,nymphaea,nymphaea amazonum,15,6,1982,166
5421,nymphaea,nymphaea amazonum,18,2,2014,49
48932,nymphaea,nymphaea amazonum,26,10,1985,299
47411,nymphaea,nymphaea amazonum,28,7,2010,209
44424,nymphaea,nymphaea amazonum,16,1,2016,16
8133,nymphaea,nymphaea amazonum,19,11,1980,324
13255,nymphaea,nymphaea amazonum,19,11,1994,323
13071,nymphaea,nymphaea amazonum,20,8,1994,232
202624,nymphaea,nymphaea amazonum,30,8,2009,242
28440,nymphaea,nymphaea amazonum,30,11,2008,335
17717,nymphaea,nymphaea amazonum,17,6,1998,168
8894,nymphaea,nymphaea amazonum,25,3,2018,84
3415239,nymphaea,nymphaea amazonum,25,6,1982,176
18257,nymphaea,nymphaea amazonum,24,2,1999,55
2362,nymphaea,nymphaea amazonum,23,7,1986,204
52082,nymphaea,nymphaea amazonum,13,5,2011,133
1347426,nymphaea,nymphaea amazonum,24,8,1983,236
3278443,nymphaea,nymphaea amazonum,15,9,1973,258
60198,nymphaea,nymphaea amazonum,23,6,2016,175
60796,nymphaea,nymphaea amazonum,24,6,2017,175
5532,nymphaea,nymphaea amazonum,28,7,2007,209
19939,nymphaea,nymphaea amazonum,19,3,1993,78
942892,nymphaea,nymphaea amazonum,20,6,1994,171
28172,nymphaea,nymphaea amazonum,24,6,1982,175
2082702,nymphaea,nymphaea amazonum,24,8,1986,236
8141,nymphaea,nymphaea amazonum,26,3,1985,85
9536,nymphaea,nymphaea amazonum,30,9,2018,273
11609,nymphaea,nymphaea amazonum,27,11,2005,331
8131,nymphaea,nymphaea amazonum,30,10,1981,303
161657,nymphaea,nymphaea amazonum,16,2,1983,47
28165,nymphaea,nymphaea amazonum,22,6,1982,173
9333,nymphaea,nymphaea amazonum,22,9,2007,265
1093166,nymphaea,nymphaea amazonum,20,8,1996,233
14691,nymphaea,nymphaea amazonum,21,6,2014,172
92358,nymphaea,nymphaea amazonum,31,8,2017,243
5402,nymphaea,nymphaea amazonum,15,3,2014,74
5481,nymphaea,nymphaea amazonum,16,3,2014,75
28186,nymphaea,nymphaea amazonum,28,6,1982,179
8132,nymphaea,nymphaea amazonum,23,4,1982,113
8124,nymphaea,nymphaea amazonum,17,7,1980,199
28232,nymphaea,nymphaea amazonum,29,6,1982,180
20030,nymphaea,nymphaea amazonum,26,9,1992,270
8129,nymphaea,nymphaea amazonum,17,7,1980,199
8128,nymphaea,nymphaea amazonum,18,5,1982,138
8756,nymphaea,nymphaea amazonum,29,11,2016,334
5512,nymphaea,nymphaea amazonum,16,3,2014,75
5364,nymphaea,nymphaea amazonum,30,9,2016,274
92353,nymphaea,nymphaea amazonum,23,9,2016,267
15483,nymphaea,nymphaea amazonum,25,8,1996,238
52927,nymphaea,nymphaea amazonum,15,3,2014,74
45612,nymphaea,nymphaea amazonum,16,2,1983,47
28185,nymphaea,nymphaea amazonum,27,6,1982,178
18095,nymphaea,nymphaea amazonum,16,10,2007,289
5686,nymphaea,nymphaea amazonum,29,6,2014,180
10164,nymphaea,nymphaea amazonum,21,4,2012,112
745789,nymphaea,nymphaea amazonum,18,5,1989,138
3464822,nymphaea,nymphaea amazonum,26,7,1997,207
3415306,nymphaea,nymphaea amazonum,28,7,1984,210
91230,nymphaea,nymphaea amazonum,23,11,2015,327
92364,nymphaea,nymphaea amazonum,30,10,2017,303
18283,nymphaea,nymphaea amazonum,24,2,1999,55
770756,nymphaea,nymphaea amazonum,21,4,1980,112
15519,nymphaea,nymphaea amazonum,27,2,1996,58
1473801,nymphaea,nymphaea amazonum,27,6,1982,178
111248,nymphaea,nymphaea amazonum,23,3,1981,82
16941,nymphaea,nymphaea amazonum,25,7,2006,206
28424,nymphaea,nymphaea amazonum,29,11,2008,334
16934,nymphaea,nymphaea amazonum,25,7,2006,206
115821,nymphaea,nymphaea amazonum,17,12,2006,351
11210,nymphaea,nymphaea amazonum,27,2,1993,58
92354,nymphaea,nymphaea amazonum,23,9,2016,267
57422,nymphaea,nymphaea amazonum,20,6,2014,171
202656,nymphaea,nymphaea amazonum,20,9,2009,263
15633,nymphaea,nymphaea amazonum,28,4,1996,119
59526,nymphaea,nymphaea amazonum,25,5,2016,146
100473222,nymphaea,nymphaea amazonum,29,6,2004,181
615407,nymphaea,nymphaea amazonum,18,7,1918,199
14909,nymphaea,nymphaea amazonum,27,2,1996,58
52697,nymphaea,nymphaea amazonum,22,6,2012,174
60187,nymphaea,nymphaea amazonum,14,6,2016,166
615408,nymphaea,nymphaea amazonum,18,7,1910,199
16998,nymphaea,nymphaea amazonum,14,4,1998,104
26635,nymphaea,nymphaea amazonum,23,5,2013,143
202896,nymphaea,nymphaea amazonum,20,7,2011,201
21898,nymphaea,nymphaea amazonum,23,8,2008,236
3782,nymphaea,nymphaea amazonum,17,5,1991,137
10390,nymphaea,nymphaea amazonum,28,2,1993,59
8084,nymphaea,nymphaea amazonum,13,12,1990,347
185389,nymphaea,nymphaea amazonum,15,8,2003,227
13312,nymphaea,nymphaea amazonum,28,2,1995,59
57432,nymphaea,nymphaea amazonum,22,4,2014,112
3146707,nymphaea,nymphaea amazonum,26,10,1985,299
26723,nymphaea,nymphaea amazonum,30,3,2015,89
27741,nymphaea,nymphaea amazonum,19,8,1991,231
10062,nymphaea,nymphaea amazonum,19,8,1991,231
77420,nymphaea,nymphaea amazonum,30,6,2012,182
2706459,nymphaea,nymphaea amazonum,15,9,1973,258
62087,nymphaea,nymphaea amazonum,28,6,2018,179
52083,nymphaea,nymphaea amazonum,13,5,2011,133
27798,nymphaea,nymphaea amazonum,18,5,2008,139
26714,nymphaea,nymphaea amazonum,30,3,2015,89
26338,nymphaea,nymphaea amazonum,28,4,1996,119
69004,nymphaea,nymphaea amazonum,21,4,2002,111
2282821,nymphaea,nymphaea amazonum,27,5,1953,147
208688,nymphaea,nymphaea amazonum,27,5,2008,148
202932,nymphaea,nymphaea amazonum,28,1,2012,28
2143,nymphaea,nymphaea amazonum,19,8,1989,231
202768,nymphaea,nymphaea amazonum,25,7,2010,206
202903,nymphaea,nymphaea amazonum,20,7,2011,201
2544157,nymphaea,nymphaea amazonum,31,3,1958,90
2675351,nymphaea,nymphaea amazonum,26,1,1974,26
2144,nymphaea,nymphaea amazonum,23,7,1986,204
37224,nymphaea,nymphaea amazonum,24,6,2008,176
4987,nymphaea,nymphaea amazonum,29,7,1995,210
202714,nymphaea,nymphaea amazonum,22,11,2009,326
202926,nymphaea,nymphaea amazonum,24,1,2012,24
215210,nymphaea,nymphaea amazonum,21,4,2012,112
69005,nymphaea,nymphaea amazonum,14,9,2002,257
68225,nymphaea,nymphaea amazonum,25,6,2003,176
407877,nymphaea,nymphaea amazonum,16,1,2016,16
202716,nymphaea,nymphaea amazonum,22,11,2009,326
202748,nymphaea,nymphaea amazonum,22,5,2010,142
19526,nymphaea,nymphaea amazonum,31,7,2007,212
29546,nymphaea,nymphaea amazonum,24,6,2000,176
202771,nymphaea,nymphaea amazonum,25,7,2010,206
54521,nymphaea,nymphaea amazonum,15,12,2014,349
202717,nymphaea,nymphaea amazonum,22,11,2009,326
231136,nymphaea,nymphaea amazonum,29,5,2015,149
93881,nymphaea,nymphaea amazonum,30,10,1997,303
763134,nymphaea,nymphaea amazonum,29,5,1915,149
216799,nymphaea,nymphaea amazonum,20,7,2001,201
109888,nymphaea,nymphaea amazonum,15,1,2000,15
202933,nymphaea,nymphaea amazonum,30,1,2012,30
47015,nymphaea,nymphaea amazonum,26,11,2014,330
202922,nymphaea,nymphaea amazonum,23,1,2012,23
22798,nymphaea,nymphaea amazonum,14,1,2006,14
216802,nymphaea,nymphaea amazonum,14,4,1998,104
3783,nymphaea,nymphaea amazonum,17,5,1991,137
121672,nymphaea,nymphaea amazonum,28,4,1916,119
202969,nymphaea,nymphaea amazonum,16,8,2013,228
202884,nymphaea,nymphaea amazonum,17,7,2011,198
48007,nymphaea,nymphaea amazonum,30,7,2009,211
202705,nymphaea,nymphaea amazonum,22,11,2009,326
79070,nymphaea,nymphaea amazonum,14,4,1998,104
93718,nymphaea,nymphaea amazonum,25,3,2005,84
206612,nymphaea,nymphaea amazonum,31,8,2006,243
71193,nymphaea,nymphaea amazonum,13,6,2007,164
65216,nymphaea,nymphaea amazonum,18,3,1992,78
101917,nymphaea,nymphaea amazonum,30,5,2005,150
202892,nymphaea,nymphaea amazonum,18,7,2011,199
68176,nymphaea,nymphaea amazonum,25,8,2001,237
68588,nymphaea,nymphaea amazonum,13,12,2002,347
202845,nymphaea,nymphaea amazonum,21,4,2011,111
19283,nymphaea,nymphaea amazonum,31,7,2007,212
216801,nymphaea,nymphaea amazonum,15,4,2006,105
63535,nymphaea,nymphaea amazonum,23,1,1958,23
44252,nymphaea,nymphaea amazonum,29,10,2008,303
35091,nymphaea,nymphaea amazonum,25,3,2009,84
30246,nymphaea,nymphaea amazonum,23,8,2000,236
53203,nymphaea,nymphaea amazonum,28,11,1915,332
79084,nymphaea,nymphaea amazonum,19,8,1991,231
79086,nymphaea,nymphaea amazonum,24,2,1999,55
216628,nymphaea,nymphaea amazonum,31,8,2006,243
85705,nymphaea,nymphaea amazonum,17,4,1952,108
26728,nymphaea,nymphaea amazonum,30,3,2015,89
88752,nymphaea,nymphaea amazonum,15,7,2003,196
208689,nymphaea,nymphaea amazonum,24,3,2008,84
216625,nymphaea,nymphaea amazonum,24,3,2006,83
217419,nymphaea,nymphaea amazonum,19,2,2003,50
33756,nymphaea,nymphaea amazonum,29,6,2011,180
3426490,nymphaea,nymphaea amazonum,14,8,1995,226
16940,nymphaea,nymphaea amazonum,25,7,2006,206
,nymphaea,nymphaea amazonum,0,0,1841,335
54513,nymphaea,nymphaea amazonum,2,1,1976,2
7660,nymphaea,nymphaea amazonum,4,4,1990,94
58514,nymphaea,nymphaea amazonum,6,9,2015,249
1092920,nymphaea,nymphaea amazonum,8,10,1996,282
,nymphaea,nymphaea amazonum,0,4,1838,90
1511649,nymphaea,nymphaea amazonum,7,8,1895,219
165395,nymphaea,nymphaea amazonum,3,3,2008,63
,nymphaea,nymphaea amazonum,0,0,1855,334
,nymphaea,nymphaea amazonum,3,10,1957,276
24964,nymphaea,nymphaea amazonum,5,8,2009,217
,nymphaea,nymphaea amazonum,6,5,1978,126
92369,nymphaea,nymphaea amazonum,12,12,2017,346
100904984,nymphaea,nymphaea amazonum,6,8,1995,218
,nymphaea,nymphaea amazonum,9,3,1974,68
109860,nymphaea,nymphaea amazonum,4,11,1980,309
139388,nymphaea,nymphaea amazonum,12,1,1998,12
441459,nymphaea,nymphaea amazonum,10,12,1889,344
p01738472,nymphaea,nymphaea amazonum,5,9,1979,248
2084696,nymphaea,nymphaea amazonum,12,10,1998,285
23682,nymphaea,nymphaea amazonum,8,1,1998,8
16965,nymphaea,nymphaea amazonum,4,4,1998,94
18357,nymphaea,nymphaea amazonum,9,1,1999,9
6258,nymphaea,nymphaea amazonum,6,7,1989,187
859403,nymphaea,nymphaea amazonum,6,5,1978,126
441455,nymphaea,nymphaea amazonum,9,7,1953,190
1979140,nymphaea,nymphaea amazonum,6,11,1997,310
3415036,nymphaea,nymphaea amazonum,6,8,1995,218
3414881,nymphaea,nymphaea amazonum,11,4,1980,102
100470443,nymphaea,nymphaea amazonum,9,9,1999,252
3414942,nymphaea,nymphaea amazonum,12,7,1998,193
3415374,nymphaea,nymphaea amazonum,10,5,1981,130
no disponible,nymphaea,nymphaea amazonum,10,12,1998,344
52903,nymphaea,nymphaea amazonum,6,7,2014,187
92373,nymphaea,nymphaea amazonum,2,5,2017,122
214252,nymphaea,nymphaea amazonum,2,11,2003,306
441457,nymphaea,nymphaea amazonum,9,8,1980,222
91159,nymphaea,nymphaea amazonum,11,10,2008,285
rb01438683,nymphaea,nymphaea amazonum,2,2,2019,33
31820,nymphaea,nymphaea amazonum,11,7,1996,193
u.1446105,nymphaea,nymphaea amazonum,8,7,1913,189
8201,nymphaea,nymphaea amazonum,2,4,1991,92
1511653,nymphaea,nymphaea amazonum,11,10,1917,284
11623,nymphaea,nymphaea amazonum,3,5,2020,124
3661710,nymphaea,nymphaea amazonum,4,8,1979,216
45471,nymphaea,nymphaea amazonum,9,6,2009,160
14910,nymphaea,nymphaea amazonum,6,1,2001,6
940931,nymphaea,nymphaea amazonum,8,12,1998,342
3417161,nymphaea,nymphaea amazonum,3,5,1991,123
1511660,nymphaea,nymphaea amazonum,8,11,1990,312
52071,nymphaea,nymphaea amazonum,5,9,2011,248
2883207,nymphaea,nymphaea amazonum,3,10,1957,276
2442637,nymphaea,nymphaea amazonum,12,1,1998,12
3415474,nymphaea,nymphaea amazonum,4,10,1997,277
868928,nymphaea,nymphaea amazonum,4,11,1980,309
13873,nymphaea,nymphaea amazonum,8,12,1994,342
53947,nymphaea,nymphaea amazonum,2,6,2014,153
2993018,nymphaea,nymphaea amazonum,3,9,1980,247
3278451,nymphaea,nymphaea amazonum,10,12,1977,344
2082910,nymphaea,nymphaea amazonum,12,8,1998,224
8143,nymphaea,nymphaea amazonum,8,2,1985,39
8127,nymphaea,nymphaea amazonum,8,3,1981,67
92366,nymphaea,nymphaea amazonum,12,12,2017,346
92386,nymphaea,nymphaea amazonum,9,6,2018,160
no disponible,nymphaea,nymphaea amazonum,8,12,1998,342
l.1717581,nymphaea,nymphaea amazonum,10,3,1957,69
92376,nymphaea,nymphaea amazonum,2,5,2018,122
1497,nymphaea,nymphaea amazonum,6,9,2004,250
75020,nymphaea,nymphaea amazonum,8,9,1976,252
l.1717582,nymphaea,nymphaea amazonum,10,3,1957,69
4231,nymphaea,nymphaea amazonum,2,6,2012,154
20028,nymphaea,nymphaea amazonum,9,12,1991,343
8142,nymphaea,nymphaea amazonum,7,1,1981,7
5541,nymphaea,nymphaea amazonum,6,7,2014,187
l.1717580,nymphaea,nymphaea amazonum,12,12,1837,346
92372,nymphaea,nymphaea amazonum,2,5,2018,122
1098952,nymphaea,nymphaea amazonum,9,3,1991,68
6479,nymphaea,nymphaea amazonum,8,4,1989,98
859400,nymphaea,nymphaea amazonum,11,6,1979,162
13100,nymphaea,nymphaea amazonum,7,2,1995,38
2361352,nymphaea,nymphaea amazonum,8,8,1895,220
202808,nymphaea,nymphaea amazonum,4,7,2011,185
202918,nymphaea,nymphaea amazonum,8,6,2011,159
202946,nymphaea,nymphaea amazonum,9,5,2012,130
2724,nymphaea,nymphaea amazonum,3,7,2008,185
188830,nymphaea,nymphaea amazonum,3,6,1998,154
5298,nymphaea,nymphaea amazonum,9,10,1988,283
202952,nymphaea,nymphaea amazonum,10,12,2012,345
1048117,nymphaea,nymphaea amazonum,7,8,1913,219
3426491,nymphaea,nymphaea amazonum,8,12,1995,342
rb00678300,nymphaea,nymphaea amazonum,8,5,2001,128
10733,nymphaea,nymphaea amazonum,12,11,1992,317
19340,nymphaea,nymphaea amazonum,2,5,2006,122
rb00894140,nymphaea,nymphaea amazonum,4,8,2011,216
4125,nymphaea,nymphaea amazonum,5,12,1997,339
14075,nymphaea,nymphaea amazonum,9,8,1995,221
8809,nymphaea,nymphaea amazonum,3,11,2017,307
rb00894254,nymphaea,nymphaea amazonum,4,8,2011,216
93133,nymphaea,nymphaea amazonum,2,8,2019,214
202825,nymphaea,nymphaea amazonum,4,8,2011,216
755890,nymphaea,nymphaea amazonum,7,8,1913,219
92371,nymphaea,nymphaea amazonum,2,5,2018,122
13341,nymphaea,nymphaea amazonum,4,4,1995,94
8660,nymphaea,nymphaea amazonum,2,6,1991,153
151184,nymphaea,nymphaea amazonum,2,8,1980,215
21906,nymphaea,nymphaea amazonum,4,4,2001,94
14071,nymphaea,nymphaea amazonum,9,8,1995,221
9837,nymphaea,nymphaea amazonum,8,3,1992,68
14068,nymphaea,nymphaea amazonum,9,8,1995,221
29663,nymphaea,nymphaea amazonum,7,7,1998,188
15577,nymphaea,nymphaea amazonum,3,1,1996,3
2883208,nymphaea,nymphaea amazonum,3,10,1957,276
60805,nymphaea,nymphaea amazonum,7,8,2017,219
2816524,nymphaea,nymphaea amazonum,7,4,1945,97
60808,nymphaea,nymphaea amazonum,7,8,2017,219
4400,nymphaea,nymphaea amazonum,4,11,1992,309
13174,nymphaea,nymphaea amazonum,4,9,1996,248
60952,nymphaea,nymphaea amazonum,7,1,2017,7
60795,nymphaea,nymphaea amazonum,7,8,2017,219
57903,nymphaea,nymphaea amazonum,9,2,2014,40
152720,nymphaea,nymphaea amazonum,3,3,2008,63
60950,nymphaea,nymphaea amazonum,7,1,2017,7
45478,nymphaea,nymphaea amazonum,9,6,2009,160
207015,nymphaea,nymphaea amazonum,2,11,2000,307
2993020,nymphaea,nymphaea amazonum,8,9,1980,252
58513,nymphaea,nymphaea amazonum,6,12,2015,340
p01956725,nymphaea,nymphaea amazonum,1,1,1841,1
202823,nymphaea,nymphaea amazonum,4,7,2011,185
16826,nymphaea,nymphaea amazonum,4,7,2005,185
46160,nymphaea,nymphaea amazonum,12,1,1998,12
207046,nymphaea,nymphaea amazonum,3,6,1999,154
224176,nymphaea,nymphaea amazonum,7,1,2013,7
2816523,nymphaea,nymphaea amazonum,7,4,1945,97
52090,nymphaea,nymphaea amazonum,10,11,2011,314
60951,nymphaea,nymphaea amazonum,7,8,2017,219
68321,nymphaea,nymphaea amazonum,2,5,2006,122
202965,nymphaea,nymphaea amazonum,7,5,2013,127
68205,nymphaea,nymphaea amazonum,3,5,2002,123
202805,nymphaea,nymphaea amazonum,4,6,2011,155
202980,nymphaea,nymphaea amazonum,12,6,2013,163
53063,nymphaea,nymphaea amazonum,2,2,1981,33
202762,nymphaea,nymphaea amazonum,6,12,2010,340
68325,nymphaea,nymphaea amazonum,9,8,2006,221
202764,nymphaea,nymphaea amazonum,6,12,2010,340
940930,nymphaea,nymphaea amazonum,10,12,1998,344
963734,nymphaea,nymphaea amazonum,11,6,1997,162
69003,nymphaea,nymphaea amazonum,3,11,2005,307
rb00267705,nymphaea,nymphaea amazonum,11,4,1980,102
44268,nymphaea,nymphaea amazonum,11,8,2007,223
2178,nymphaea,nymphaea amazonum,1,6,1935,152
3396,nymphaea,nymphaea amazonum,9,9,1990,252
18892,nymphaea,nymphaea amazonum,4,7,2005,185
963783,nymphaea,nymphaea amazonum,11,6,1997,162
rb00572099,nymphaea,nymphaea amazonum,3,6,1998,154
219617,nymphaea,nymphaea amazonum,9,8,1980,222
202766,nymphaea,nymphaea amazonum,6,12,2010,340
55168,nymphaea,nymphaea amazonum,2,12,2011,336
145774,nymphaea,nymphaea amazonum,7,9,1953,250
203725,nymphaea,nymphaea amazonum,3,6,2004,155
214968,nymphaea,nymphaea amazonum,5,7,2006,186
1711790,nymphaea,nymphaea amazonum,8,12,1929,342
202807,nymphaea,nymphaea amazonum,4,6,2011,155
68323,nymphaea,nymphaea amazonum,2,6,2006,153
202961,nymphaea,nymphaea amazonum,7,5,2013,127
28428,nymphaea,nymphaea amazonum,12,6,2008,164
202830,nymphaea,nymphaea amazonum,4,8,2011,216
202949,nymphaea,nymphaea amazonum,10,12,2012,345
68170,nymphaea,nymphaea amazonum,4,4,2001,94
209108,nymphaea,nymphaea amazonum,5,3,1989,64
202820,nymphaea,nymphaea amazonum,4,7,2011,185
28438,nymphaea,nymphaea amazonum,11,3,2008,71
69002,nymphaea,nymphaea amazonum,4,4,2001,94
202810,nymphaea,nymphaea amazonum,4,7,2011,185
202960,nymphaea,nymphaea amazonum,7,5,2013,127
4409,nymphaea,nymphaea amazonum,4,11,1992,309
216834,nymphaea,nymphaea amazonum,1,6,1935,152
11879,nymphaea,nymphaea amazonum,11,3,2004,71
216800,nymphaea,nymphaea amazonum,5,10,2008,279
4410,nymphaea,nymphaea amazonum,4,11,1992,309
9960,nymphaea,nymphaea amazonum,7,3,1999,66
52092,nymphaea,nymphaea amazonum,10,12,2011,344
58515,nymphaea,nymphaea amazonum,6,11,2015,310
93883,nymphaea,nymphaea amazonum,7,9,1996,251
,calycophyllum,calycophyllum spruceanum,28,6,1989,179
v0355030f,calycophyllum,calycophyllum spruceanum,24,7,1976,206
v0355026f,calycophyllum,calycophyllum spruceanum,26,11,1940,331
v0486723f,calycophyllum,calycophyllum spruceanum,25,4,1984,116
v0486727f,calycophyllum,calycophyllum spruceanum,13,5,1983,133
,calycophyllum,calycophyllum spruceanum,20,7,1984,202
,calycophyllum,calycophyllum spruceanum,16,2,1977,47
396495,calycophyllum,calycophyllum spruceanum,21,7,1991,202
,calycophyllum,calycophyllum spruceanum,18,2,1977,49
,calycophyllum,calycophyllum spruceanum,16,2,1977,47
rb00335323,calycophyllum,calycophyllum spruceanum,30,10,1957,303
v0355029f,calycophyllum,calycophyllum spruceanum,15,12,1932,350
159154,calycophyllum,calycophyllum spruceanum,31,7,1989,212
90849,calycophyllum,calycophyllum spruceanum,18,2,1977,49
u  0291650,calycophyllum,calycophyllum spruceanum,31,1,1961,31
159153,calycophyllum,calycophyllum spruceanum,31,7,1989,212
v0486726f,calycophyllum,calycophyllum spruceanum,17,8,1974,229
v0486724f,calycophyllum,calycophyllum spruceanum,28,4,2002,118
v/087485,calycophyllum,calycophyllum spruceanum,24,6,1962,175
v0355027f,calycophyllum,calycophyllum spruceanum,15,6,1981,166
